video_name,status,total_frames,i_frames,p_frames,b_frames,propagated_frames,tracking_data,motion_data,error,processing_time
Walking (131),SUCCESS,256,9,77,170,247,C:\Users\newuser\capstone_project\output\Walking (131)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (131)\motion\roi_motion_data.json,,16.19s
Walking (132),SUCCESS,110,4,33,73,106,C:\Users\newuser\capstone_project\output\Walking (132)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (132)\motion\roi_motion_data.json,,83.65s
Walking (133),SUCCESS,320,11,96,213,309,C:\Users\newuser\capstone_project\output\Walking (133)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (133)\motion\roi_motion_data.json,,10.14s
Walking (134),SUCCESS,239,8,72,159,231,C:\Users\newuser\capstone_project\output\Walking (134)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (134)\motion\roi_motion_data.json,,6.75s
Walking (135),SUCCESS,183,7,54,122,176,C:\Users\newuser\capstone_project\output\Walking (135)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (135)\motion\roi_motion_data.json,,5.81s
Walking (136),SUCCESS,330,11,99,220,319,C:\Users\newuser\capstone_project\output\Walking (136)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (136)\motion\roi_motion_data.json,,13.04s
Walking (137),SUCCESS,305,11,91,203,294,C:\Users\newuser\capstone_project\output\Walking (137)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (137)\motion\roi_motion_data.json,,10.59s
Walking (138),SUCCESS,307,11,92,204,296,C:\Users\newuser\capstone_project\output\Walking (138)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (138)\motion\roi_motion_data.json,,18.55s
Walking (139),SUCCESS,259,9,78,172,250,C:\Users\newuser\capstone_project\output\Walking (139)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (139)\motion\roi_motion_data.json,,7.04s
Walking (140),SUCCESS,286,10,86,190,276,C:\Users\newuser\capstone_project\output\Walking (140)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (140)\motion\roi_motion_data.json,,8.70s
Walking (141),SUCCESS,330,11,99,220,319,C:\Users\newuser\capstone_project\output\Walking (141)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (141)\motion\roi_motion_data.json,,9.04s
Walking (142),SUCCESS,300,10,90,200,290,C:\Users\newuser\capstone_project\output\Walking (142)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (142)\motion\roi_motion_data.json,,9.88s
Walking (143),SUCCESS,270,9,81,180,261,C:\Users\newuser\capstone_project\output\Walking (143)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (143)\motion\roi_motion_data.json,,9.16s
Walking (144),SUCCESS,260,9,78,173,251,C:\Users\newuser\capstone_project\output\Walking (144)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (144)\motion\roi_motion_data.json,,8.06s
Walking (145),SUCCESS,303,11,90,202,292,C:\Users\newuser\capstone_project\output\Walking (145)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (145)\motion\roi_motion_data.json,,8.81s
Walking (146),SUCCESS,337,12,101,224,325,C:\Users\newuser\capstone_project\output\Walking (146)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (146)\motion\roi_motion_data.json,,9.81s
Walking (147),SUCCESS,333,12,99,222,321,C:\Users\newuser\capstone_project\output\Walking (147)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (147)\motion\roi_motion_data.json,,5.40s
Walking (148),SUCCESS,316,11,95,210,305,C:\Users\newuser\capstone_project\output\Walking (148)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (148)\motion\roi_motion_data.json,,5.28s
Walking (149),SUCCESS,309,11,92,206,298,C:\Users\newuser\capstone_project\output\Walking (149)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (149)\motion\roi_motion_data.json,,5.43s
Walking (150),SUCCESS,320,11,96,213,309,C:\Users\newuser\capstone_project\output\Walking (150)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (150)\motion\roi_motion_data.json,,5.18s
Walking (151),SUCCESS,263,9,79,175,254,C:\Users\newuser\capstone_project\output\Walking (151)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (151)\motion\roi_motion_data.json,,3.91s
Walking (152),SUCCESS,255,9,76,170,246,C:\Users\newuser\capstone_project\output\Walking (152)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (152)\motion\roi_motion_data.json,,4.85s
Walking (153),SUCCESS,349,12,105,232,337,C:\Users\newuser\capstone_project\output\Walking (153)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (153)\motion\roi_motion_data.json,,7.12s
Walking (154),SUCCESS,328,11,99,218,317,C:\Users\newuser\capstone_project\output\Walking (154)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (154)\motion\roi_motion_data.json,,7.15s
Walking (155),SUCCESS,304,11,91,202,293,C:\Users\newuser\capstone_project\output\Walking (155)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (155)\motion\roi_motion_data.json,,6.59s
Walking (156),SUCCESS,312,11,93,208,301,C:\Users\newuser\capstone_project\output\Walking (156)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (156)\motion\roi_motion_data.json,,6.23s
Walking (157),SUCCESS,337,12,101,224,325,C:\Users\newuser\capstone_project\output\Walking (157)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (157)\motion\roi_motion_data.json,,6.64s
Walking (158),SUCCESS,375,13,112,250,362,C:\Users\newuser\capstone_project\output\Walking (158)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (158)\motion\roi_motion_data.json,,6.97s
Walking (159),SUCCESS,339,12,101,226,327,C:\Users\newuser\capstone_project\output\Walking (159)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (159)\motion\roi_motion_data.json,,4.90s
Walking (160),SUCCESS,333,12,99,222,321,C:\Users\newuser\capstone_project\output\Walking (160)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (160)\motion\roi_motion_data.json,,5.67s
Walking (161),SUCCESS,329,11,99,219,318,C:\Users\newuser\capstone_project\output\Walking (161)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (161)\motion\roi_motion_data.json,,4.79s
Walking (162),SUCCESS,331,12,99,220,319,C:\Users\newuser\capstone_project\output\Walking (162)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (162)\motion\roi_motion_data.json,,5.41s
Walking (163),SUCCESS,378,13,113,252,365,C:\Users\newuser\capstone_project\output\Walking (163)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (163)\motion\roi_motion_data.json,,5.90s
Walking (164),SUCCESS,424,15,127,282,409,C:\Users\newuser\capstone_project\output\Walking (164)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (164)\motion\roi_motion_data.json,,6.46s
Walking (165),SUCCESS,395,14,118,263,381,C:\Users\newuser\capstone_project\output\Walking (165)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (165)\motion\roi_motion_data.json,,6.29s
Walking (166),SUCCESS,350,12,105,233,338,C:\Users\newuser\capstone_project\output\Walking (166)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (166)\motion\roi_motion_data.json,,5.66s
Walking (167),SUCCESS,323,11,97,215,312,C:\Users\newuser\capstone_project\output\Walking (167)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (167)\motion\roi_motion_data.json,,5.05s
Walking (168),SUCCESS,272,10,81,181,262,C:\Users\newuser\capstone_project\output\Walking (168)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (168)\motion\roi_motion_data.json,,10.52s
Walking (169),SUCCESS,129,5,38,86,124,C:\Users\newuser\capstone_project\output\Walking (169)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (169)\motion\roi_motion_data.json,,4.92s
Walking (170),SUCCESS,288,10,86,192,278,C:\Users\newuser\capstone_project\output\Walking (170)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (170)\motion\roi_motion_data.json,,9.97s
Walking (171),SUCCESS,154,6,46,102,148,C:\Users\newuser\capstone_project\output\Walking (171)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (171)\motion\roi_motion_data.json,,5.77s
