video_name,status,total_frames,i_frames,p_frames,b_frames,propagated_frames,tracking_data,motion_data,error,processing_time
Walking (30),SUCCESS,179,7,53,119,172,C:\Users\newuser\capstone_project\output\Walking (30)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (30)\motion\roi_motion_data.json,,4.11s
Walking (31),SUCCESS,331,12,99,220,319,C:\Users\newuser\capstone_project\output\Walking (31)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (31)\motion\roi_motion_data.json,,11.86s
Walking (32),SUCCESS,320,11,96,213,309,C:\Users\newuser\capstone_project\output\Walking (32)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (32)\motion\roi_motion_data.json,,4.70s
Walking (33),SUCCESS,316,11,95,210,305,C:\Users\newuser\capstone_project\output\Walking (33)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (33)\motion\roi_motion_data.json,,4.26s
Walking (34),SUCCESS,338,12,101,225,326,C:\Users\newuser\capstone_project\output\Walking (34)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (34)\motion\roi_motion_data.json,,4.71s
Walking (35),SUCCESS,419,14,126,279,405,C:\Users\newuser\capstone_project\output\Walking (35)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (35)\motion\roi_motion_data.json,,6.82s
Walking (36),SUCCESS,355,12,107,236,343,C:\Users\newuser\capstone_project\output\Walking (36)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (36)\motion\roi_motion_data.json,,5.35s
Walking (37),SUCCESS,353,12,106,235,341,C:\Users\newuser\capstone_project\output\Walking (37)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (37)\motion\roi_motion_data.json,,5.54s
Walking (38),SUCCESS,311,11,93,207,300,C:\Users\newuser\capstone_project\output\Walking (38)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (38)\motion\roi_motion_data.json,,5.42s
Walking (39),SUCCESS,319,11,96,212,308,C:\Users\newuser\capstone_project\output\Walking (39)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (39)\motion\roi_motion_data.json,,5.05s
Walking (40),SUCCESS,321,11,96,214,310,C:\Users\newuser\capstone_project\output\Walking (40)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (40)\motion\roi_motion_data.json,,4.97s
Walking (41),SUCCESS,358,12,108,238,346,C:\Users\newuser\capstone_project\output\Walking (41)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (41)\motion\roi_motion_data.json,,5.44s
Walking (42),SUCCESS,358,12,108,238,346,C:\Users\newuser\capstone_project\output\Walking (42)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (42)\motion\roi_motion_data.json,,6.12s
Walking (43),SUCCESS,362,13,108,241,349,C:\Users\newuser\capstone_project\output\Walking (43)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (43)\motion\roi_motion_data.json,,5.55s
Walking (44),SUCCESS,332,12,99,221,320,C:\Users\newuser\capstone_project\output\Walking (44)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (44)\motion\roi_motion_data.json,,5.60s
Walking (45),SUCCESS,332,12,99,221,320,C:\Users\newuser\capstone_project\output\Walking (45)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (45)\motion\roi_motion_data.json,,5.70s
Walking (46),SUCCESS,310,11,93,206,299,C:\Users\newuser\capstone_project\output\Walking (46)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (46)\motion\roi_motion_data.json,,5.10s
Walking (47),SUCCESS,272,10,81,181,262,C:\Users\newuser\capstone_project\output\Walking (47)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (47)\motion\roi_motion_data.json,,4.47s
Walking (48),SUCCESS,297,10,89,198,287,C:\Users\newuser\capstone_project\output\Walking (48)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (48)\motion\roi_motion_data.json,,4.70s
Walking (49),SUCCESS,420,14,126,280,406,C:\Users\newuser\capstone_project\output\Walking (49)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (49)\motion\roi_motion_data.json,,7.47s
Walking (50),SUCCESS,370,13,111,246,357,C:\Users\newuser\capstone_project\output\Walking (50)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (50)\motion\roi_motion_data.json,,6.99s
Walking (51),SUCCESS,369,13,110,246,356,C:\Users\newuser\capstone_project\output\Walking (51)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (51)\motion\roi_motion_data.json,,7.05s
Walking (52),SUCCESS,299,10,90,199,289,C:\Users\newuser\capstone_project\output\Walking (52)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (52)\motion\roi_motion_data.json,,5.74s
Walking (53),SUCCESS,278,10,83,185,268,C:\Users\newuser\capstone_project\output\Walking (53)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (53)\motion\roi_motion_data.json,,5.80s
Walking (54),SUCCESS,267,9,80,178,258,C:\Users\newuser\capstone_project\output\Walking (54)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (54)\motion\roi_motion_data.json,,5.17s
Walking (55),SUCCESS,457,16,137,304,441,C:\Users\newuser\capstone_project\output\Walking (55)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (55)\motion\roi_motion_data.json,,6.94s
Walking (56),SUCCESS,359,12,108,239,347,C:\Users\newuser\capstone_project\output\Walking (56)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (56)\motion\roi_motion_data.json,,5.13s
Walking (57),SUCCESS,310,11,93,206,299,C:\Users\newuser\capstone_project\output\Walking (57)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (57)\motion\roi_motion_data.json,,4.35s
Walking (58),SUCCESS,300,10,90,200,290,C:\Users\newuser\capstone_project\output\Walking (58)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (58)\motion\roi_motion_data.json,,5.43s
Walking (59),SUCCESS,295,10,89,196,285,C:\Users\newuser\capstone_project\output\Walking (59)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (59)\motion\roi_motion_data.json,,4.49s
Walking (60),SUCCESS,277,10,83,184,267,C:\Users\newuser\capstone_project\output\Walking (60)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (60)\motion\roi_motion_data.json,,3.66s
Walking (61),SUCCESS,331,12,99,220,319,C:\Users\newuser\capstone_project\output\Walking (61)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (61)\motion\roi_motion_data.json,,5.27s
Walking (62),SUCCESS,299,10,90,199,289,C:\Users\newuser\capstone_project\output\Walking (62)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (62)\motion\roi_motion_data.json,,4.96s
Walking (63),SUCCESS,351,12,105,234,339,C:\Users\newuser\capstone_project\output\Walking (63)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (63)\motion\roi_motion_data.json,,5.99s
Walking (64),SUCCESS,339,12,101,226,327,C:\Users\newuser\capstone_project\output\Walking (64)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (64)\motion\roi_motion_data.json,,5.34s
Walking (65),SUCCESS,332,12,99,221,320,C:\Users\newuser\capstone_project\output\Walking (65)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (65)\motion\roi_motion_data.json,,5.14s
Walking (66),SUCCESS,365,13,109,243,352,C:\Users\newuser\capstone_project\output\Walking (66)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (66)\motion\roi_motion_data.json,,5.42s
Walking (67),SUCCESS,365,13,109,243,352,C:\Users\newuser\capstone_project\output\Walking (67)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (67)\motion\roi_motion_data.json,,5.57s
Walking (68),SUCCESS,356,12,107,237,344,C:\Users\newuser\capstone_project\output\Walking (68)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (68)\motion\roi_motion_data.json,,5.61s
Walking (69),SUCCESS,325,11,98,216,314,C:\Users\newuser\capstone_project\output\Walking (69)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (69)\motion\roi_motion_data.json,,4.90s
Walking (70),SUCCESS,317,11,95,211,306,C:\Users\newuser\capstone_project\output\Walking (70)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (70)\motion\roi_motion_data.json,,6.28s
Walking (71),SUCCESS,304,11,91,202,293,C:\Users\newuser\capstone_project\output\Walking (71)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (71)\motion\roi_motion_data.json,,6.00s
Walking (72),SUCCESS,395,14,118,263,381,C:\Users\newuser\capstone_project\output\Walking (72)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (72)\motion\roi_motion_data.json,,5.90s
Walking (73),SUCCESS,368,13,110,245,355,C:\Users\newuser\capstone_project\output\Walking (73)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (73)\motion\roi_motion_data.json,,4.20s
Walking (74),SUCCESS,368,13,110,245,355,C:\Users\newuser\capstone_project\output\Walking (74)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (74)\motion\roi_motion_data.json,,5.09s
Walking (75),SUCCESS,426,15,127,284,411,C:\Users\newuser\capstone_project\output\Walking (75)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (75)\motion\roi_motion_data.json,,5.89s
Walking (76),SUCCESS,405,14,121,270,391,C:\Users\newuser\capstone_project\output\Walking (76)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (76)\motion\roi_motion_data.json,,5.17s
Walking (77),SUCCESS,410,14,123,273,396,C:\Users\newuser\capstone_project\output\Walking (77)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (77)\motion\roi_motion_data.json,,5.35s
Walking (78),SUCCESS,334,11,100,223,323,C:\Users\newuser\capstone_project\output\Walking (78)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (78)\motion\roi_motion_data.json,,5.18s
Walking (79),SUCCESS,301,11,90,200,290,C:\Users\newuser\capstone_project\output\Walking (79)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (79)\motion\roi_motion_data.json,,9.60s
Walking (80),SUCCESS,259,9,78,172,250,C:\Users\newuser\capstone_project\output\Walking (80)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (80)\motion\roi_motion_data.json,,3.43s
Walking (81),SUCCESS,217,8,65,144,209,C:\Users\newuser\capstone_project\output\Walking (81)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (81)\motion\roi_motion_data.json,,8.22s
Walking (82),SUCCESS,308,11,92,205,297,C:\Users\newuser\capstone_project\output\Walking (82)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (82)\motion\roi_motion_data.json,,9.18s
Walking (83),SUCCESS,299,10,90,199,289,C:\Users\newuser\capstone_project\output\Walking (83)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (83)\motion\roi_motion_data.json,,8.40s
Walking (84),SUCCESS,301,11,90,200,290,C:\Users\newuser\capstone_project\output\Walking (84)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (84)\motion\roi_motion_data.json,,8.78s
Walking (85),SUCCESS,301,11,90,200,290,C:\Users\newuser\capstone_project\output\Walking (85)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (85)\motion\roi_motion_data.json,,7.78s
Walking (86),SUCCESS,303,11,90,202,292,C:\Users\newuser\capstone_project\output\Walking (86)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (86)\motion\roi_motion_data.json,,7.27s
Walking (87),SUCCESS,286,10,86,190,276,C:\Users\newuser\capstone_project\output\Walking (87)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (87)\motion\roi_motion_data.json,,7.82s
Walking (88),SUCCESS,305,11,91,203,294,C:\Users\newuser\capstone_project\output\Walking (88)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (88)\motion\roi_motion_data.json,,10.90s
Walking (89),SUCCESS,295,11,88,196,284,C:\Users\newuser\capstone_project\output\Walking (89)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (89)\motion\roi_motion_data.json,,10.03s
Walking (90),SUCCESS,299,11,89,199,288,C:\Users\newuser\capstone_project\output\Walking (90)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (90)\motion\roi_motion_data.json,,7.98s
